ID,codigo,nombre,referencia,createdAt,createdBy,modifiedAt,modifiedBy
7d332e84-551a-491c-8ba2-895245401633,1,Provisiones con reversa,,2025-11-07T05:03:15.239120,init-script,2025-11-07T05:03:15.239120,init-script
664a1901-083e-4eb8-b5d9-32ab0b61b5d6,2,Ajustes de asientos de cierre,,2025-11-07T05:03:15.239120,init-script,2025-11-07T05:03:15.239120,init-script
406bd618-c071-42cd-b33c-72df2f655978,3,Asientos de ajuste excepcionales,,2025-11-07T05:03:15.239120,init-script,2025-11-07T05:03:15.239120,init-script
